Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature °C
India,2000,188.2463,1845.6861,17810.2655,132154.3642,4989.3234,1831.0,10753.3363,-227396.9133,0.0,20462.1208,5391.4154,69672.9132,4327.3069,133926.0019,2214.8167,13027.7252,92290.5677,11498.0864,49296.0326,32965.5862,0.0,766.5056,30604.2978,761700630.0,291350282.0,548223581.0,511410095.0,408618.6849,0.3659166666666666
India,2001,172.4683,1295.4379,18003.1852,132710.032,4987.1322,1873.0,10695.5549,-24494.5727,23187.626,21486.3586,6201.7061,66816.9272,4616.834,135030.5924,3029.4178,14098.1903,93534.1632,11593.0251,49675.2726,33165.827,0.0,503.7867,29838.9649,772339048.0,299138807.0,558291332.0,520679574.0,638020.9297000002,0.5051666666666667
India,2002,115.0151,903.742,16163.9205,121703.3752,4983.2256,1876.0,11132.1773,-24494.5727,23187.626,24585.6449,7140.3258,67513.0111,3975.7944,136031.9672,3791.1922,20761.4676,96031.8577,11669.4557,49930.5861,33313.3516,0.0,149.1611,30626.2157,782001968.0,307805144.0,568334873.0,529978166.0,641090.5401000001,0.8663333333333334
India,2003,232.9278,3764.7703,17746.1373,125889.8004,4976.3578,1720.0,11220.8536,-24494.5727,23187.626,27867.3829,8135.4979,68539.2951,4203.2545,137434.1729,4497.9101,21052.4295,103019.7542,11783.7223,50335.428,33533.6311,0.0,1057.4844,34410.6193,791442579.0,316585269.0,578236241.0,539178882.0,670114.4826999998,0.5912499999999999
India,2004,461.8265,5716.3143,17508.8353,123862.7951,4972.8339,1584.0,11555.9651,-24494.5727,23187.626,30189.7247,6929.0,72225.7239,3067.0258,137987.4539,1424.3885,21838.2008,113769.788,12025.6739,51402.6263,34008.9501,0.0,1551.6791,35497.56,800652720.0,325483057.0,587990365.0,548274218.0,686273.4185,0.5855
India,2005,219.7606,3319.0726,18031.2862,129044.3977,4960.7204,1852.0,11179.8421,-24494.5727,23187.626,31169.7323,5122.685,71899.7841,3660.024,139304.8895,2781.4396,21148.3595,113850.3432,12279.5757,52554.833,34528.6837,0.0,951.4972,32128.5412,809639268.0,334479406.0,597477666.0,557161047.0,688680.5209000001,0.4955833333333333
India,2006,264.0652,3501.5104,18257.1639,129488.3408,4961.4148,1794.0,12403.7863,-24494.5727,23187.626,33667.2353,6435.2306,77396.6617,4863.7172,140682.1194,4095.2269,23072.7876,120035.0478,12531.5329,53626.1504,35013.9396,0.0,1709.4935,33369.8891,818387902.0,343589817.0,606611392.0,565762395.0,715862.3667,0.7149166666666668
India,2007,348.5128,5728.0047,19371.8335,129783.9088,4959.8349,1934.0,6039.1827,-24494.5727,23187.626,36815.3657,7795.121,84335.6394,5961.1868,142634.9691,5654.9887,21248.3486,132285.5326,12882.5431,55350.9999,35797.078,0.0,1455.434,5516.1494,826881860.0,352799379.0,615506279.0,574185530.0,714591.687,0.5745833333333333
India,2008,349.3108,3441.2898,19698.9843,134593.9824,4958.4544,1578.0,6761.3466,-24494.5727,23187.626,36976.3773,10598.7594,92694.5686,5446.2888,143761.2896,7109.7314,20700.949,136073.1771,12901.6762,55353.4353,35834.1813,0.0,1253.9727,3729.5523,835058767.0,362088139.0,624242020.0,582492785.0,732508.3806,0.354
India,2009,673.3426,10761.7497,18640.7043,123897.0809,4962.8263,941.0,7491.1615,-24494.5727,23187.626,38623.8745,19230.8997,100735.5127,6138.0291,144258.8058,8780.7924,23677.0103,147885.2099,12931.3091,55393.863,35887.2127,0.0,2867.4404,4580.8967,842864409.0,371405723.0,632892402.0,590747758.0,767051.7749,1.0790833333333334
India,2010,437.7572,8541.6194,19885.6912,126687.5384,4960.9248,1299.0,7873.5598,-24494.5727,23187.626,44694.2376,22654.6057,106880.4667,6122.1799,145952.0564,9901.1145,22872.6495,155360.8027,12974.7628,55506.9139,35972.5401,0.0,3293.4067,4325.919,850236137.0,380744554.0,641566029.0,599047591.0,794890.7996,1.04375
India,2011,379.5638,4163.2091,20929.6634,130079.4768,4960.0144,1753.0,8257.8098,-71115.44,0.0,47204.5197,25203.1344,103707.1756,6445.9391,147606.597,10841.0556,24048.5954,165735.1491,12997.7635,55545.1223,36027.831,0.0,986.0287,4144.585,857153804.0,390082225.0,650244390.0,607376801.0,739900.7937000002,0.4230833333333333
India,2012,645.913,9862.5098,21171.1463,126367.1427,4958.2084,1771.0,8475.0389,-71115.44,0.0,49416.9604,28118.575,120140.65,7191.3281,148776.0157,13395.7055,23928.7964,178054.0655,13012.9321,55526.4946,36051.7544,0.0,2278.1194,3531.3626,863513505.0,399552347.0,658839435.0,615647779.0,781558.2787999999,0.5271666666666667
India,2013,293.2222,5697.5391,21312.4775,130451.7447,4957.4127,1485.0,24705.175,-71115.44,0.0,55092.6593,32363.0914,130942.8094,7967.3987,149879.5552,14263.0752,26236.5017,187397.8419,13011.845,55409.8163,36033.1105,0.0,1655.771,33734.6383,869387533.0,409174674.0,667322883.0,623809180.0,861775.2451,0.4108333333333334
India,2014,331.9609,4786.2133,21347.1473,130375.0448,4953.2382,1864.0,25679.0081,-71115.44,0.0,59982.6952,34720.1096,141904.3336,9455.9576,150833.0899,16396.9682,26643.9956,194889.5738,13032.3321,55475.2041,36077.3687,0.0,1783.6697,33862.1735,874857621.0,419001673.0,675549357.0,631697152.0,893278.6441999999,0.5026666666666667
India,2015,243.5351,3586.3415,20634.708,128246.9552,4952.0492,1798.0,28160.6518,-71115.44,0.0,62763.6873,37417.2873,135396.5313,8094.6928,151144.5464,15918.1362,27065.06,199239.5602,13224.2291,56559.1516,36366.9733,0.0,1010.722,3256.4503,879984521.0,429069459.0,683543213.0,639323292.0,863963.8285999999,0.809
India,2016,377.5075,4711.5839,21584.4725,127655.8192,4945.1758,1789.0,29360.061,-40537.2,0.0,67504.3174,40709.5633,143243.1416,8338.4145,152201.5651,15366.7891,27753.4809,211630.8166,13383.4917,57542.1908,36668.3239,0.0,1389.5915,3229.6058,884779655.0,439391699.0,691623419.0,647012921.0,928847.7121,1.0951666666666666
India,2017,427.9975,7451.4669,22366.8149,129382.1432,4945.1662,1933.0,11341.8006,-40537.2,0.0,72752.0096,43065.4162,149522.5969,8297.4075,153473.724,13007.6119,28407.4231,213139.0939,13489.4014,58080.2293,36866.4718,0.0,1280.6851,2755.127,889216746.0,449963381.0,699587889.0,654607791.0,931448.387,0.9388333333333332
India,2018,473.3602,6052.7261,22639.1462,130512.3361,4946.1663,1843.0,15234.0268,-40537.2,0.0,74992.5562,45318.2746,155490.5776,9047.0445,154444.0377,13938.4516,27734.1812,233340.5494,13635.824,58862.4001,37103.1189,0.0,619.9138,3058.0664,893272090.0,460779764.0,707149230.0,661854076.0,968748.5577,0.8183333333333334
India,2019,305.8672,3516.5949,22740.6673,129399.6704,4906.0323,1872.0,14273.3936,-40537.2,0.0,79580.5943,48541.0972,165676.299,8799.1034,155416.4108,14146.1319,27483.2682,239285.4149,13707.8596,59034.7203,37026.8312,0.0,541.4518,2979.9994,896909218.0,471828295.0,714325057.0,668786993.0,988696.2077,0.7905000000000001
India,2020,194.5101,1762.6228,23522.8756,133005.6,4902.237,1872.0,12139.414,-40537.2,0.0,83055.7397,49469.9424,165676.299,8327.068,156298.6848,14768.9835,26784.325,221469.6454,13530.3237,58751.7449,36984.5082,0.0,506.4604,2979.9994,900099113.0,483098640.0,720997448.0,675389679.0,975465.7839,0.5685
